[06-Mar-2026 09:59:33] NOTICE: fpm is running, pid 19
[06-Mar-2026 09:59:33] NOTICE: ready to handle connections
127.0.0.1 -  06/Mar/2026:12:37:38 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:37:38 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:37:38 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:37:55 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:37:55 +0000 "PUT /index.php" 200
127.0.0.1 -  06/Mar/2026:12:37:55 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:37:55 +0000 "POST /index.php" 200
127.0.0.1 -  06/Mar/2026:12:37:56 +0000 "PUT /index.php" 200
127.0.0.1 -  06/Mar/2026:12:37:56 +0000 "POST /index.php" 200
127.0.0.1 -  06/Mar/2026:12:37:56 +0000 "PUT /index.php" 200
127.0.0.1 -  06/Mar/2026:12:37:57 +0000 "PUT /index.php" 200
127.0.0.1 -  06/Mar/2026:12:37:57 +0000 "POST /index.php" 200
127.0.0.1 -  06/Mar/2026:12:38:01 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:38:02 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:38:02 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:38:02 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:38:02 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:38:02 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:38:02 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:38:02 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:38:02 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:38:02 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:38:02 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:38:02 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:38:02 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:38:02 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:38:03 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:38:03 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:38:03 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:38:03 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:41:32 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:41:32 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:41:49 +0000 "OPTIONS /index.php" 200
127.0.0.1 -  06/Mar/2026:12:41:49 +0000 "GET /index.php" 200
127.0.0.1 -  06/Mar/2026:12:49:47 +0000 "GET /index.php" 200
